review_id,employee_id,review_date,rating
1,3202,,2
2,859,,1
3,1138,,5
4,890,,1
5,1342,,4
6,3407,,2
7,288,,4
8,1570,,2
9,2103,,4
10,410,,5
11,153,,3
12,3365,,3
13,922,,4
14,832,,2
15,1195,,3
16,249,,4
17,504,,1
18,83,,3
19,1832,,3
20,1587,,2
21,939,,3
22,3146,,2
23,1046,,3
24,59,,2
25,342,,5
26,2484,,4
27,1827,,4
28,892,,5
29,848,,1
30,751,,2
31,1445,,1
32,2411,,4
33,2186,,2
34,2562,,4
35,142,,5
36,1915,,2
37,2619,,2
38,693,,3
39,1997,,3
40,22,,2
41,3117,,2
42,2526,,2
43,2134,,3
44,2054,,3
45,2295,,3
46,1448,,2
47,3312,,4
48,732,,3
49,2777,,2
50,2610,,4
51,2869,,5
52,243,,2
53,1525,,3
54,2202,,5
55,2120,,2
56,2358,,2
57,2173,,2
58,765,,3
59,2836,,3
60,1656,,4
61,3325,,2
62,1782,,3
63,1841,,0
64,2026,,5
65,2984,,2
66,3087,,2
67,2003,,1
68,1872,,2
69,187,,5
70,231,,3
71,2523,,4
72,1182,,3
73,1496,,2
74,2153,,4
75,760,,2
76,1142,,4
77,148,,5
78,2631,,1
79,1742,,1
80,651,,4
81,2042,,1
82,490,,4
83,2674,,2
84,792,,3
85,926,,4
86,3001,,2
87,2545,,5
88,2333,,5
89,2062,,2
90,1782,,4
91,658,,4
92,1029,,2
93,3298,,5
94,3147,,2
95,2488,,2
96,3045,,4
97,2755,,1
98,1368,,5
99,2451,,2
100,2579,,3
101,474,,4
102,3129,,5
103,1689,,4
104,1074,,2
105,1624,,4
106,1126,,2
107,1139,,3
108,1870,,4
109,3417,,3
110,1399,,1
111,736,,1
112,2609,,1
113,1011,,1
114,1839,,4
115,869,,1
116,726,,2
117,864,,2
118,1221,,1
119,3273,,5
120,2299,,1
121,2383,,1
122,184,,2
123,38,,1
124,1172,,2
125,3041,,1
126,56,,2
127,2624,,1
128,2812,,5
129,952,,4
130,402,,4
131,526,,3
132,265,fecha_mala,4
133,2890,,5
134,2695,,1
135,2305,,3
136,307,,1
137,3255,,3
138,2344,,5
139,2836,,4
140,1302,,4
141,678,,1
142,2815,,5
143,177,,4
144,627,,2
145,527,,2
146,290,,3
147,1888,,4
148,783,,3
149,3309,,5
150,3193,,2
151,577,,4
152,2840,,5
153,134,,4
154,979,,2
155,2261,,3
156,706,,3
157,268,,2
158,538,,1
159,2256,,1
160,758,,4
161,843,,2
162,703,,4
163,3021,,4
164,3043,,3
165,2757,,2
166,69,,5
167,859,,1
168,3015,,2
169,1898,,4
170,142,,5
171,854,,3
172,2832,,4
173,3011,,2
174,1459,,5
175,520,,3
176,265,,4
177,772,,1
178,2737,,3
179,2832,,4
180,879,,3
181,3348,,5
182,3008,,5
183,3383,,1
184,2577,,5
185,1963,,2
186,3363,,3
187,2359,,3
188,2850,,4
189,1380,,3
190,826,,3
191,1965,,3
192,1402,,2
193,1203,,3
194,2386,,1
195,2092,,1
196,1083,,4
197,828,,2
198,1872,,4
199,1121,,4
200,814,,4
201,761,,3
202,2271,,3
203,1423,,4
204,1172,,2
205,395,,3
206,189,,2
207,2381,,2
208,3315,,1
209,1113,,1
210,2891,,1
211,2061,,4
212,1041,,4
213,1942,,1
214,444,,4
215,1157,,4
216,2519,,5
217,2916,,5
218,756,,1
219,3120,,3
220,2074,,5
221,786,,2
222,2669,,3
223,3018,,1
224,934,,2
225,363,,5
226,975,,4
227,2592,,2
228,212,,5
229,991,,2
230,1096,,2
231,58,,3
232,2047,,4
233,2761,,2
234,534,,2
235,3037,,4
236,3265,,2
237,2983,,1
238,2475,,1
239,1535,,2
240,699,,1
241,3127,,1
242,1818,,4
243,1549,,3
244,1341,,1
245,748,,2
246,1310,,4
247,2734,,5
248,1918,,5
249,1355,,2
250,371,,5
251,1422,,3
252,738,,2
253,1363,,3
254,513,,1
255,3247,,3
256,596,,3
257,426,,3
258,2245,,1
259,1178,,1
260,3412,,2
