date,employee_id,department_id,shift_id,scheduled_minutes,absence_minutes,absence_reason,is_absent
2024-07-01,1700,1.0,2,476,0,,0
2024-07-01,2345,1.0,3,493,0,,0
2024-07-01,689,5.0,1,538,42,,0
2024-07-01,607,5.0,1,478,0,,0
2024-07-01,359,7.0,2,526,0,,0
2024-07-01,95,2.0,2,514,514,Sick,1
2024-07-01,1672,1.0,2,456,0,,0
2024-07-01,2358,5.0,2,450,450,Sick,1
2024-07-01,3074,4.0,1,513,0,,0
2024-07-01,2476,4.0,3,445,0,,0
2024-07-01,3033,8.0,3,460,0,,0
2024-07-01,1230,1.0,2,448,0,,0
2024-07-01,1843,7.0,1,493,0,,0
2024-07-01,1992,2.0,1,455,0,,0
2024-07-01,332,2.0,2,499,0,,0
2024-07-01,2720,6.0,1,533,0,,0
2024-07-01,115,8.0,3,520,0,,0
2024-07-01,2666,10.0,1,534,0,,0
2024-07-01,1680,5.0,2,422,0,,0
2024-07-01,496,10.0,3,475,0,,0
2024-07-01,1888,5.0,1,446,17,,0
2024-07-01,2665,6.0,1,531,0,,0
2024-07-01,1043,3.0,2,506,0,,0
2024-07-01,1946,9.0,2,458,0,,0
2024-07-01,159,10.0,1,488,0,,0
2024-07-01,446,2.0,2,493,0,,0
2024-07-01,1173,4.0,3,479,0,,0
2024-07-01,1496,8.0,1,477,0,,0
2024-07-01,1257,5.0,1,426,0,,0
2024-07-01,2427,2.0,1,474,0,,0
2024-07-01,2833,2.0,1,462,0,,0
2024-07-01,766,5.0,1,519,0,,0
2024-07-01,2776,10.0,1,524,0,,0
2024-07-01,1830,9.0,2,510,0,,0
2024-07-01,2224,1.0,1,423,0,,0
2024-07-01,3098,5.0,3,521,0,,0
2024-07-01,524,10.0,1,467,0,,0
2024-07-01,2971,5.0,1,470,0,,0
2024-07-01,132,3.0,2,534,43,,0
2024-07-01,2845,7.0,3,524,524,Sick,1
2024-07-01,1083,8.0,1,426,0,,0
2024-07-01,3373,1.0,1,463,463,Sick,1
2024-07-01,590,1.0,1,510,0,,0
2024-07-01,2443,3.0,1,485,0,,0
2024-07-01,1172,1.0,1,451,0,,0
2024-07-01,356,5.0,1,483,0,,0
2024-07-01,2206,9.0,1,524,0,,0
2024-07-01,3023,9.0,1,447,0,,0
2024-07-01,1268,4.0,3,510,0,,0
2024-07-01,2942,10.0,2,508,508,Unknown,1
2024-07-01,1481,3.0,1,527,0,,0
2024-07-01,601,9.0,1,456,0,,0
2024-07-01,3041,2.0,1,446,0,,0
2024-07-01,774,5.0,1,486,0,,0
2024-07-01,1106,5.0,2,484,0,,0
2024-07-01,236,2.0,3,469,0,,0
2024-07-01,1634,,3,514,0,,0
2024-07-01,137,6.0,3,516,0,,0
2024-07-01,3330,7.0,3,449,0,,0
2024-07-01,3164,7.0,3,516,0,,0
2024-07-01,2678,4.0,1,447,0,,0
2024-07-01,3157,1.0,1,469,0,,0
2024-07-01,787,4.0,1,423,0,,0
2024-07-01,747,10.0,2,461,0,,0
2024-07-01,2790,3.0,1,535,0,,0
2024-07-01,474,3.0,3,473,0,,0
2024-07-01,3065,9.0,2,505,0,,0
2024-07-01,1514,2.0,1,433,0,,0
2024-07-01,1269,6.0,1,496,0,,0
2024-07-01,592,10.0,1,464,0,,0
2024-07-01,1982,1.0,1,510,510,Sick,1
2024-07-01,511,8.0,3,532,0,,0
2024-07-01,1216,3.0,2,484,0,,0
2024-07-01,2154,8.0,2,432,0,,0
2024-07-01,743,10.0,1,477,0,,0
2024-07-01,17,7.0,1,434,47,,0
2024-07-01,2645,3.0,1,474,0,,0
2024-07-01,1799,1.0,2,427,427,Sick,1
2024-07-01,1240,7.0,2,497,497,Sick,1
2024-07-01,549,7.0,1,457,0,,0
2024-07-01,1520,5.0,3,444,0,,0
2024-07-01,2724,1.0,1,422,0,,0
2024-07-01,206,5.0,3,527,0,,0
2024-07-01,2239,1.0,1,521,0,,0
2024-07-01,2248,5.0,1,518,0,,0
2024-07-01,867,10.0,3,427,0,,0
2024-07-01,259,4.0,1,462,0,,0
2024-07-01,2262,7.0,1,537,0,,0
2024-07-01,447,3.0,1,490,0,,0
2024-07-01,1741,6.0,1,435,0,,0
2024-07-01,1082,3.0,2,437,0,,0
2024-07-01,1175,2.0,3,451,0,,0
2024-07-01,1382,9.0,3,537,0,,0
2024-07-01,2926,1.0,1,440,440,Sick,1
2024-07-01,327,10.0,1,529,0,,0
2024-07-01,2019,7.0,1,502,0,,0
2024-07-01,1416,3.0,1,531,0,,0
2024-07-01,1723,,1,519,47,,0
2024-07-01,2099,7.0,3,460,0,,0
2024-07-01,2803,10.0,3,520,0,,0
2024-07-01,267,5.0,2,440,0,,0
2024-07-01,2531,5.0,1,455,0,,0
2024-07-01,2218,3.0,1,445,0,,0
2024-07-01,566,1.0,1,436,0,,0
2024-07-01,966,1.0,1,430,55,,0
2024-07-01,1512,10.0,1,442,0,,0
2024-07-01,2731,1.0,1,434,43,,0
2024-07-01,712,2.0,1,466,0,,0
2024-07-01,321,8.0,3,428,0,,0
2024-07-01,837,6.0,1,427,0,,0
2024-07-01,2064,10.0,3,539,0,,0
2024-07-01,2299,5.0,1,430,0,,0
2024-07-01,3262,2.0,2,428,0,,0
2024-07-01,953,4.0,1,423,0,,0
2024-07-01,2210,10.0,1,436,436,Sick,1
2024-07-01,483,3.0,1,483,0,,0
2024-07-01,3076,5.0,1,520,0,,0
2024-07-01,1260,10.0,3,508,0,,0
2024-07-01,2390,1.0,1,490,0,,0
2024-07-01,1166,10.0,2,430,0,,0
2024-07-01,2310,7.0,1,513,0,,0
2024-07-01,3129,1.0,1,424,424,Personal,1
2024-07-01,948,6.0,1,496,0,,0
2024-07-01,404,9.0,1,469,0,,0
2024-07-01,2544,1.0,3,526,0,,0
2024-07-01,1490,6.0,3,457,0,,0
2024-07-01,432,4.0,2,497,0,,0
2024-07-01,290,6.0,1,473,0,,0
2024-07-01,1765,8.0,1,483,0,,0
2024-07-01,2201,3.0,3,533,0,,0
2024-07-01,3301,1.0,1,506,0,,0
2024-07-01,1649,9.0,1,470,0,,0
2024-07-01,114,9.0,1,474,0,,0
2024-07-01,1934,2.0,2,505,44,,0
2024-07-01,311,1.0,2,461,0,,0
2024-07-01,2433,7.0,2,440,0,,0
2024-07-01,655,1.0,2,476,0,,0
2024-07-01,155,1.0,1,428,0,,0
2024-07-01,2928,2.0,3,440,0,,0
2024-07-01,1793,6.0,1,470,0,,0
2024-07-01,2122,9.0,2,516,0,,0
2024-07-01,2496,8.0,1,514,0,,0
2024-07-01,2980,4.0,3,451,0,,0
2024-07-01,2772,1.0,1,471,0,,0
